Starting the BCP algorithm for the examples/C203.txt problem 
| It.:    0 | Obj.:  5887.00 | Price:  -6779.00 | SRC:   0 | RCC:   0 | Paths:  18 | Stage: 1 | Cat:    18/73    | Lag.: 20337.0000 | α: 0.50 | tr: 0.00 | gap: 0.0000 |
| It.:   10 | Obj.:  5887.00 | Price:  -1593.06 | SRC:   0 | RCC:   0 | Paths:  11 | Stage: 1 | Cat:    11/25    | Lag.:  4779.1741 | α: 0.83 | tr: 0.00 | gap: 0.0000 |
| It.:   20 | Obj.:  5887.00 | Price:   -736.33 | SRC:   0 | RCC:   0 | Paths:  19 | Stage: 1 | Cat:    23/92    | Lag.:  2208.9988 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:   30 | Obj.:  5887.00 | Price:   -601.34 | SRC:   0 | RCC:   0 | Paths:  14 | Stage: 1 | Cat:    14/22    | Lag.:  1804.0231 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:   40 | Obj.:  5887.00 | Price:   -438.66 | SRC:   0 | RCC:   0 | Paths:  10 | Stage: 1 | Cat:    12/29    | Lag.:  1315.9685 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:   50 | Obj.:  5887.00 | Price:   -349.07 | SRC:   0 | RCC:   0 | Paths:  12 | Stage: 1 | Cat:    15/54    | Lag.:  1047.2149 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:   60 | Obj.:  5887.00 | Price:   -303.47 | SRC:   0 | RCC:   0 | Paths:  17 | Stage: 1 | Cat:    17/57    | Lag.:   910.4212 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:   70 | Obj.:  5887.00 | Price:   -181.47 | SRC:   0 | RCC:   0 | Paths:  12 | Stage: 1 | Cat:    12/125   | Lag.:   544.4167 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:   80 | Obj.:  5887.00 | Price:   -163.92 | SRC:   0 | RCC:   0 | Paths:   9 | Stage: 1 | Cat:    11/102   | Lag.:   491.7671 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:   90 | Obj.:  5887.00 | Price:   -183.85 | SRC:   0 | RCC:   0 | Paths:   9 | Stage: 1 | Cat:     9/50    | Lag.:   551.5649 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  100 | Obj.:  5887.00 | Price:   -160.94 | SRC:   0 | RCC:   0 | Paths:  10 | Stage: 1 | Cat:    10/37    | Lag.:   482.8125 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  110 | Obj.:  5887.00 | Price:   -151.05 | SRC:   0 | RCC:   0 | Paths:   7 | Stage: 1 | Cat:     8/169   | Lag.:   453.1352 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  120 | Obj.:  5887.00 | Price:   -116.59 | SRC:   0 | RCC:   0 | Paths:   6 | Stage: 1 | Cat:     6/19    | Lag.:   349.7648 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  130 | Obj.:  5887.00 | Price:    -70.28 | SRC:   0 | RCC:   0 | Paths:   4 | Stage: 1 | Cat:     6/14    | Lag.:   210.8370 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  140 | Obj.:  5887.00 | Price:    -72.16 | SRC:   0 | RCC:   0 | Paths:   6 | Stage: 1 | Cat:     6/17    | Lag.:   216.4843 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  150 | Obj.:  5887.00 | Price:    -47.80 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 1 | Cat:     4/65    | Lag.:   143.3918 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  160 | Obj.:  5887.00 | Price:    -72.64 | SRC:   0 | RCC:   0 | Paths:   5 | Stage: 1 | Cat:     5/25    | Lag.:   217.9267 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
